dataset,c1,c2,c3,c4,l1,l2,s1,s2,s3,l3,s4,t2
Energy Efficiency,0.8614233789131013,0.47399160123289075,0.6366666666666667,0.013333333333333334,0.056059440095962906,0.006299535888788751,0.06270558101914261,0.7701362947662058,0.021289235269272674,0.005441906626914864,0.004492156152826355,75.0
Facebook Metrics,0.8315682390860694,0.41235374078577547,0.280561122244489,0.0,0.003342990966961029,3.759516387758888e-05,0.022004178503952993,1.1688190964721201,0.0022269372596815393,2.3942641042933985e-05,0.000974706936494153,29.352941176470587
Forest Fires,0.07869596317636426,0.046827672680174126,0.816247582205029,0.0,0.01792353307541837,0.0033146744488559677,0.023155438142288015,0.9750800830223088,0.008795058382090512,0.0021976979953114316,0.0023252283958405976,43.083333333333336
Liver Disorders,0.3415233112138354,0.21828296422359084,0.8144927536231884,0.3072463768115942,0.11706629197402857,0.022542794854179878,0.1582608695652174,0.35185201334063193,0.044784420289855076,0.020456776465201432,0.017292215803616624,69.0
Metro Interstate,0.1499069690413216,0.04783481869539159,0.6916666666666667,0.7816666666666666,0.244433569872687,0.07685232065972401,0.30712754479782345,0.8661612433394498,0.14163818440878925,0.07500808083385338,0.07922964728216685,75.0
Parkinson Telemonitoring,0.2811603749639377,0.12062497578848257,0.8316666666666667,0.6066666666666667,0.18748622238049162,0.04946789424262701,0.14832258114112637,0.8226795899053914,0.05055332246885348,0.046994334418731146,0.028943451057293186,31.57894736842105
Power Plant,0.9502872894116368,0.700531543879548,-0.5,0.04,0.0528403576467302,0.004123942717441595,0.06527068889216697,0.3322667245985388,0.006522417699874825,0.002924478587965354,0.0026213491685057318,150.0
Real Estate,0.7759483354370685,0.4596755488059278,0.5410628019323671,0.03864734299516908,0.05578480381246871,0.006386127946729082,0.06648776006294697,0.6285291421530712,0.01000917717645419,0.004824900247777636,0.004232626379823284,69.0
Servo,0.6928733448055177,0.33953110242235296,0.7125748502994012,0.38323353293413176,0.12766361387652364,0.024830491114359473,0.05765117548637522,0.7058617581929074,0.015240176130378261,0.020661647985120477,0.003502252845411722,41.75
Solar Flare,0.26590649845775594,0.12433350403953465,0.15333333333333332,0.041666666666666664,0.07047508839471055,0.015424156065549723,0.06366666666666668,1.3572519308271702,0.029200000000000004,0.014168852937406556,0.013662083174222517,60.0
Student Math,0.45214709833937117,0.14692861945949254,0.7883333333333333,0.125,0.10187366296324947,0.01946238947335258,0.14456140350877192,2.6158007666386274,0.04151431209602954,0.017214749804569864,0.01487980508845572,20.0
Superconductivity,0.7494654476705097,0.4214264967205033,0.605,0.0,0.09453351149288207,0.015324153144700222,0.09135312958678507,1.8448565632961702,0.014966106190504374,0.011980983989737397,0.01052053459855583,7.407407407407407
Syn_Reg_10f_linear,0.6401537509609435,0.24405201282508013,0.515,0.0725,9.020235366885301e-05,1.310832538142733e-08,0.09225844362375234,0.6854971748263966,0.012989233816309368,8.514753451671122e-09,0.004330590866731985,40.0
Syn_Reg_1inf_3f,0.9996164401826687,0.3553965414430531,-0.5,0.0,0.002875850785296497,1.3010447825207827e-05,0.035257647164071586,0.26736140371357675,0.001629621425391174,8.208526992690153e-06,0.0006942912095070691,100.0
