dataset,f1,f1v,f2,f3,f4,l1,l2,l3,n1,n2,n3,n4,t1,lsc,density,cls_coef,hubs,t2,t3,t4,c1,c2
Iranian Churn,0.5566914608747395,0.1443569117631717,0.0,0.64,0.43833333333333335,0.017578767380721463,0.1,0.08199999999999999,0.045,0.16753005167888652,0.07166666666666666,0.07316666666666666,0.20666666666666667,0.9243833333333333,0.9101057317751808,0.2863570854434333,0.7718610355020801,0.021666666666666667,0.013333333333333334,0.6153846153846154,0.3737248109258172,0.6408529402881391
CDC Diabetes,0.4890302757811384,0.19096985562855745,0.07897427043775537,0.6066666666666667,0.5416666666666666,0.016735463817263888,0.14,0.12033333333333333,0.10833333333333334,0.3870684340875768,0.20666666666666667,0.1345,0.6483333333333333,0.9902694444444444,0.9674401780745687,0.49925502250590914,0.8890121898643996,0.03833333333333333,0.023333333333333334,0.6086956521739131,0.1994603075483824,0.4171092898097014
Online Shoppers,0.6354183354392607,0.23958069725750203,0.004535047912751305,0.96,0.9183333333333333,0.011029243435743134,0.12333333333333334,0.11716666666666668,0.11083333333333334,0.3726162498185364,0.21666666666666667,0.13533333333333333,0.58,0.9866694444444445,0.8898219254312744,0.3618595332492006,0.7370958960040552,0.028333333333333332,0.018333333333333333,0.6470588235294118,0.3777873619936867,0.6450782467312512
Heart Disease,0.7523530839623813,0.27618115289788453,0.17294140960929621,0.9406392694063926,0.7990867579908676,0.04111425072945277,0.1552511415525114,0.14474885844748858,0.1324200913242009,0.37098345840077873,0.2648401826484018,0.13789954337899543,0.589041095890411,0.9536706907695837,0.9700054459385866,0.6328581509078003,0.8854303702239229,0.0593607305936073,0.045662100456621,0.7692307692307693,0.18691756597518272,0.39707897463320074
Student Dropout,0.4843936598299756,0.12012542389042255,0.0025689826410243938,0.985,0.9016666666666666,0.006366369148243367,0.105,0.06783333333333333,0.12333333333333334,0.41716080836003694,0.2483333333333333,0.1315,0.7016666666666667,0.9903527777777777,0.9682526432943795,0.6792664320149022,0.8495951311447082,0.06,0.03333333333333333,0.5555555555555556,0.03413331128389985,0.08967895993632269
Adult Income,0.8249680791997823,0.31288058865566476,0.013552654622884616,0.85,0.7333333333333333,0.012169784634890256,0.175,0.15599999999999997,0.12833333333333333,0.37462585033123813,0.2483333333333333,0.14650000000000002,0.5883333333333334,0.9846888888888888,0.9727045075125209,0.5382221052843593,0.9060363749679243,0.023333333333333334,0.018333333333333333,0.7857142857142857,0.20495972061547774,0.4256926952141058
Heart Attack,0.5653239120002008,0.23369595137158822,0.13909668448872237,0.8461538461538461,0.7491638795986622,0.01682524765789789,0.14381270903010032,0.1180602006688963,0.1588628762541806,0.3919000934988075,0.3311036789297659,0.18929765886287625,0.6755852842809364,0.9880985671301216,0.9746582568292519,0.38095022672756784,0.9191153848079923,0.04013377926421405,0.026755852842809364,0.6666666666666666,0.09445849723273692,0.22705007436787306
Smoker Status,0.7133580822495569,0.30595487113178876,0.00018746308820215634,0.965,0.705,0.019875406767821954,0.20833333333333334,0.1515,0.15833333333333333,0.44383678865650966,0.31166666666666665,0.17,0.8666666666666667,0.9901583333333334,0.994112409571508,0.8172288348601683,0.9458909049041653,0.07,0.041666666666666664,0.5952380952380952,0.09744019721745778,0.23323288935130215
ILPD,0.8858338759958251,0.5994378466845365,1.9407236303196444e-05,0.888507718696398,0.7718696397941681,0.0179363156226239,0.28130360205831906,0.27993138936535167,0.18267581475128644,0.3804432170344623,0.34476843910806176,0.23962264150943394,0.6415094339622641,0.9901232461185858,0.8750685222188821,0.2986461782818458,0.7422309292083102,0.017152658662092625,0.010291595197255575,0.6,0.13590957275123783,0.3085471148821817
Spambase,0.6604346915535829,0.1285066507459224,0.0,0.8583333333333333,0.17,0.003949302566369144,0.075,0.04233333333333334,0.0775,0.3664008326922017,0.12,0.07216666666666667,0.5233333333333333,0.97955,0.7715804117974402,0.21662303278478856,0.6023003266109486,0.095,0.07,0.7368421052631579,0.033082990640319165,0.0870600238054754
TicTacToe,0.9188732926093084,0.7631657507151998,1.0,1.0,1.0,0.12040337676744811,0.34,0.33316666666666667,0.135,0.4657039531089092,0.2833333333333333,0.16299999999999998,0.9683333333333334,0.9941638888888888,0.980411797440178,0.6034790589695429,0.870610275346934,0.015,0.015,1.0,0.06894417661496721,0.17192070198245046
BankNote Auth,0.3030601439205694,0.03981554360519291,0.12412175139599939,0.5616666666666666,0.26,0.00044767196314600334,0.021666666666666667,0.007833333333333333,0.0016666666666666668,0.12829126470208257,0.0016666666666667052,0.009833333333333336,0.06666666666666667,0.9118416666666667,0.8937228714524207,0.2807000258543868,0.7862713139338369,0.006666666666666667,0.005,0.75,0.008745992829631288,0.023910680762770475
Pima Diabetes,0.6354247595043656,0.3264360018659477,0.25224187102845746,0.9933333333333333,0.975,0.02044974269035949,0.20333333333333334,0.17433333333333334,0.14166666666666666,0.41666587821514256,0.28833333333333333,0.182,0.7166666666666667,0.9869305555555555,0.92779632721202,0.493558543588712,0.7879969006470589,0.013333333333333334,0.011666666666666667,0.875,0.06742923342425111,0.16851680385832468
Syn_Blobs_8f_easy,0.002119457153623334,0.0003357060819914101,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.058294794556250126,0.0,0.0,0.01,0.5,0.5066834170854271,0.007433060573159733,0.5026355505590244,0.04,0.005,0.125,0.0,0.0
Syn_Blobs_2f_med,0.06853121354324065,0.01960133230799206,0.004559299799545083,0.02,0.0,0.0,0.0,0.0,0.0025,0.039969655770244,0.0,0.0,0.01,0.511325,0.6598492462311558,0.16215055051289706,0.6096519153741523,0.01,0.01,1.0,0.0,0.0
Syn_Blobs_2f_hard,0.2131480074888369,0.07085412446340653,0.18665122377034551,0.535,0.205,0.001391864849921314,0.03,0.013000000000000001,0.03,0.10190492279110343,0.06000000000000005,0.022,0.09,0.7501,0.7730150753768844,0.25954748588995413,0.6989321916470473,0.01,0.01,1.0,0.0,0.0
Syn_Imbal_20_80,0.5229869810873253,0.23000564635931842,0.056811603753743715,0.6766666666666666,0.44666666666666666,0.011341273857193785,0.13,0.123,0.09,0.27305622696425086,0.15333333333333332,0.08366666666666667,0.31666666666666665,0.9158111111111111,0.892329988851728,0.3985658748647968,0.7339444840677803,0.016666666666666666,0.013333333333333334,0.8,0.2780719051126377,0.5294117647058824
Syn_Moons_lownoise,0.2594884343335505,0.11586667931850224,0.14161927868179866,0.39,0.195,0.013301834119471495,0.125,0.0765,0.0025,0.06190275811424902,0.0,0.092,0.065,0.8327,0.8888442211055276,0.24247784259991734,0.8143510114907558,0.01,0.01,1.0,0.0,0.0
Syn_Moons_mednoise,0.32855258177151103,0.14697155731934322,0.22668122379852673,0.64,0.355,0.015109556130444238,0.155,0.0985,0.0325,0.13071677909372936,0.06499999999999995,0.0935,0.1,0.9062250000000001,0.8891457286432161,0.2785149046011246,0.7438506679344445,0.01,0.01,1.0,0.0,0.0
Syn_Moons_highnoise,0.44072876488605467,0.19939544841107948,0.30546888471903944,0.755,0.6,0.017540855964332046,0.19,0.12150000000000002,0.095,0.19630207399398594,0.16500000000000004,0.1405,0.275,0.94715,0.8913065326633166,0.3244425689366116,0.7615217113474873,0.01,0.01,1.0,0.0,0.0
Syn_Circles_loose,0.9999621602177637,0.9999068853611062,0.5682919228269497,0.855,0.745,0.10142182134001815,0.495,0.49800000000000005,0.1275,0.2796179582111717,0.21999999999999997,0.304,0.4,0.977725,0.9355778894472362,0.30293818742018375,0.8757258528866401,0.01,0.01,1.0,0.0,0.0
Syn_Clf_2inf_0red,0.19573004244200082,0.10409005823028084,0.2797001569688872,0.58,0.44666666666666666,0.00400281276465595,0.07,0.045,0.043333333333333335,0.28913362788347496,0.07999999999999996,0.042333333333333334,0.31,0.9510888888888889,0.9606020066889632,0.4951464722108485,0.8824307246836456,0.013333333333333334,0.013333333333333334,1.0,0.0,0.0
Syn_Clf_2inf_4red,0.1943359414360154,0.10373163249648244,0.0177155726424476,0.5633333333333334,0.0033333333333333335,0.006680707614909318,0.07666666666666666,0.033666666666666664,0.03333333333333333,0.25836601790175695,0.06000000000000005,0.04366666666666667,0.19,0.9095222222222222,0.9183277591973245,0.35134088481754766,0.834826929579519,0.02666666666666667,0.013333333333333334,0.5,0.0,0.0
Syn_Clf_2inf_8red,0.1930215849966971,0.10376283005070792,0.0009076041696071004,0.43666666666666665,0.006666666666666667,0.008513157172156307,0.07666666666666666,0.042333333333333334,0.02666666666666667,0.2384598873698539,0.043333333333333335,0.044666666666666674,0.15333333333333332,0.8975444444444445,0.9008472686733556,0.30098902047432474,0.8261481531349766,0.04,0.013333333333333334,0.3333333333333333,0.0,0.0
Syn_HighDim_10f,0.633893210804714,0.37457285571413096,0.04600401857193108,0.87,0.665,0.022759319726003733,0.2475,0.18875,0.0825,0.377368939317566,0.14500000000000002,0.11975000000000002,0.57,0.97105625,0.9685087719298245,0.5459051142369626,0.9084209977381855,0.025,0.0175,0.7,1.803376315223648e-05,4.999875003131038e-05
Syn_HighDim_20f,0.6737125816131797,0.3235609055184436,0.0019138402321640408,0.8625,0.3975,0.024271266332670866,0.23,0.18575000000000003,0.12125,0.4387280176666153,0.24250000000000005,0.14475,0.885,0.9848125,0.9640350877192982,0.5489956354514605,0.8878993112439312,0.05,0.0275,0.55,1.803376315223648e-05,4.999875003131038e-05
Syn_HighDim_30f,0.6704056554833038,0.3433677551691368,0.0019597667731003268,0.9375,0.435,0.03350071651527292,0.2525,0.20074999999999998,0.12625,0.44406507408211887,0.23250000000000004,0.15275,0.91,0.983725,0.9792105263157894,0.635606792338795,0.9059728961052695,0.075,0.0325,0.43333333333333335,1.803376315223648e-05,4.999875003131038e-05
Syn_Medium_n200,0.3228241631760574,0.18794357776404202,0.16349570870780286,0.675,0.585,0.01141595800541068,0.145,0.08900000000000001,0.0975,0.2970437230632551,0.17000000000000004,0.09000000000000001,0.385,0.9594,0.9251256281407035,0.411445187784897,0.8410163688586302,0.02,0.015,0.75,0.0,0.0
Syn_Large_n600,0.24468555730486716,0.13211244236429362,0.2734961284342677,0.8683333333333333,0.8233333333333334,0.00598324128855468,0.08833333333333333,0.04966666666666667,0.058333333333333334,0.212700877050172,0.1233333333333333,0.05783333333333335,0.215,0.9527972222222222,0.8997885364496383,0.3381002329389613,0.8030294292677334,0.006666666666666667,0.005,0.75,7.213595433852582e-05,0.0001999800019996112
Syn_Corr_low,0.32153471494940405,0.1548038426561639,0.09751529265362599,0.7633333333333333,0.6,0.006683528406629217,0.10333333333333333,0.06533333333333333,0.05333333333333334,0.3455762930854152,0.1266666666666667,0.061,0.4033333333333333,0.9535,0.9589297658862876,0.5576037672817951,0.8725133312722506,0.02,0.016666666666666666,0.8333333333333334,0.000288558247189985,0.000799680127948954
Syn_Corr_high,0.19099268534589703,0.1052597819923863,0.0018962739422200472,0.5533333333333333,0.26,0.008423415101118733,0.08,0.042,0.03,0.09914868469858233,0.05666666666666664,0.029000000000000005,0.10666666666666667,0.8685555555555555,0.7554515050167224,0.22547520579666358,0.6025026645199436,0.02,0.006666666666666667,0.3333333333333333,3.206012728240726e-05,8.888493844727563e-05
Syn_Multimodal_1c,0.5530827038628087,0.3709451879584294,0.15334677247984324,0.8366666666666667,0.72,0.02084427306280986,0.27666666666666667,0.21766666666666662,0.11,0.37664633759206295,0.22333333333333338,0.14466666666666667,0.6066666666666667,0.9623111111111111,0.954515050167224,0.5287043377344371,0.8558101767701356,0.02,0.016666666666666666,0.8333333333333334,0.000288558247189985,0.000799680127948954
Syn_Multimodal_2c,0.38812139249297445,0.19999500475662377,0.14714624724170586,0.8733333333333333,0.7133333333333334,0.01350605332163641,0.16333333333333333,0.10666666666666666,0.11166666666666666,0.3874510682790082,0.21999999999999997,0.11066666666666665,0.56,0.9750555555555556,0.959108138238573,0.5313358122396974,0.8749333553301473,0.02,0.02,1.0,0.0001282433591510701,0.0003554923569142332
Syn_Multimodal_3c,0.4059315208487684,0.2482047387584492,0.1575713334434704,0.8766666666666667,0.7866666666666666,0.013099231120455062,0.16666666666666666,0.11933333333333333,0.13,0.40147412536649973,0.2666666666666667,0.13866666666666666,0.68,0.9820888888888889,0.9748272017837235,0.6408679602199681,0.8803531803669792,0.02,0.02,1.0,3.206012728240726e-05,8.888493844727563e-05
