dataset,f1,f1v,f2,f3,f4,l1,l2,l3,n1,n2,n3,n4,t1,lsc,density,cls_coef,hubs,t2,t3,t4,c1,c2
Syn_Blobs_8f_easy,0.002119457153623334,0.0003357060819914101,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.058294794556250126,0.0,0.0,0.01,0.5,0.5066834170854271,0.007433060573159733,0.5026355505590361,0.04,0.005,0.125,0.0,0.0
Syn_Blobs_2f_med,0.06853121354324065,0.01960133230799206,0.004559299799545083,0.02,0.0,0.0,0.0,0.0,0.0025,0.039969655770244,0.0,0.0,0.01,0.511325,0.6598492462311558,0.16215055051289706,0.6096519153741523,0.01,0.01,1.0,0.0,0.0
Syn_Blobs_2f_hard,0.2131480074888369,0.07085412446340653,0.18665122377034551,0.535,0.205,0.001391864849921314,0.03,0.005,0.03,0.10190492279110343,0.06000000000000005,0.02,0.09,0.7501,0.7730150753768844,0.25954748588995413,0.6989321916470472,0.01,0.01,1.0,0.0,0.0
Syn_Imbal_20_80,0.5229869810873253,0.23000564635931842,0.056811603753743715,0.6766666666666666,0.44666666666666666,0.011341273857193785,0.13,0.10666666666666667,0.09,0.27305622696425086,0.15333333333333332,0.06666666666666667,0.31666666666666665,0.9158111111111111,0.892329988851728,0.3985658748647968,0.7339444840677805,0.016666666666666666,0.013333333333333334,0.8,0.2780719051126377,0.5294117647058824
Syn_Moons_lownoise,0.2594884343335505,0.11586667931850224,0.14161927868179866,0.39,0.195,0.013301834119471495,0.125,0.1,0.0025,0.06190275811424902,0.0,0.13,0.065,0.8327,0.8888442211055276,0.24247784259991734,0.8143510114907548,0.01,0.01,1.0,0.0,0.0
Syn_Moons_mednoise,0.32855258177151103,0.14697155731934322,0.22668122379852673,0.64,0.355,0.015109556130444238,0.155,0.06,0.0325,0.13071677909372936,0.06499999999999995,0.05,0.1,0.9062250000000001,0.8891457286432161,0.2785149046011246,0.7438506679344452,0.01,0.01,1.0,0.0,0.0
Syn_Moons_highnoise,0.44072876488605467,0.19939544841107948,0.30546888471903944,0.755,0.6,0.017540855964332046,0.19,0.135,0.095,0.19630207399398594,0.16500000000000004,0.11,0.275,0.94715,0.8913065326633166,0.3244425689366116,0.7615217113474866,0.01,0.01,1.0,0.0,0.0
Syn_Circles_loose,0.9999621602177637,0.9999068853611062,0.5682919228269497,0.855,0.745,0.10142182134001815,0.495,0.515,0.1275,0.2796179582111717,0.21999999999999997,0.285,0.4,0.977725,0.9355778894472362,0.30293818742018375,0.8757258528866401,0.01,0.01,1.0,0.0,0.0
Syn_Clf_2inf_0red,0.19573004244200082,0.10409005823028084,0.2797001569688872,0.58,0.44666666666666666,0.00400281276465595,0.07,0.03333333333333333,0.043333333333333335,0.28913362788347496,0.07999999999999996,0.03,0.31,0.9510888888888889,0.9606020066889632,0.4951464722108485,0.8824307246836456,0.013333333333333334,0.013333333333333334,1.0,0.0,0.0
Syn_Clf_2inf_4red,0.1943359414360154,0.10373163249648244,0.0177155726424476,0.5633333333333334,0.0033333333333333335,0.006680707614909318,0.07666666666666666,0.03666666666666667,0.03333333333333333,0.25836601790175695,0.06000000000000005,0.05,0.19,0.9095222222222222,0.9183277591973245,0.35134088481754766,0.8348269295795189,0.02666666666666667,0.013333333333333334,0.5,0.0,0.0
Syn_Clf_2inf_8red,0.1930215849966971,0.10376283005070792,0.0009076041696071004,0.43666666666666665,0.006666666666666667,0.008513157172156307,0.07666666666666666,0.04,0.02666666666666667,0.2384598873698539,0.043333333333333335,0.03666666666666667,0.15333333333333332,0.8975444444444445,0.9008472686733556,0.30098902047432474,0.8261481531349767,0.04,0.013333333333333334,0.3333333333333333,0.0,0.0
Syn_HighDim_10f,0.6327260625305696,0.3897920792119522,0.04880598334750463,0.8666666666666667,0.6633333333333333,0.025903629388207238,0.26666666666666666,0.21666666666666667,0.08166666666666667,0.37822327187139576,0.14,0.08666666666666667,0.6366666666666667,0.9665222222222222,0.9758751393534002,0.6201714325408766,0.9157386811721547,0.03333333333333333,0.023333333333333334,0.7,3.206012728240726e-05,8.888493844727563e-05
Syn_HighDim_20f,0.6687891087869265,0.29838122136818424,0.0021265305970434457,0.85,0.27,0.02127237869840269,0.23666666666666666,0.17666666666666667,0.14333333333333334,0.43868439207026516,0.2866666666666666,0.13666666666666666,0.8666666666666667,0.9797555555555556,0.972396878483835,0.6206135173367159,0.9069539544420505,0.06666666666666667,0.03666666666666667,0.55,3.206012728240726e-05,8.888493844727563e-05
Syn_HighDim_30f,0.6606879562687737,0.30468256784043896,0.0008633929320523572,0.93,0.19333333333333333,0.02619575844186603,0.20666666666666667,0.19666666666666666,0.10666666666666667,0.44362436556951024,0.21333333333333337,0.13,0.9333333333333333,0.9791666666666666,0.9795094760312152,0.6574005093633577,0.9001196835217874,0.1,0.043333333333333335,0.43333333333333335,3.206012728240726e-05,8.888493844727563e-05
Syn_Medium_n200,0.3228241631760574,0.18794357776404202,0.16349570870780286,0.675,0.585,0.01141595800541068,0.145,0.135,0.0975,0.2970437230632551,0.17000000000000004,0.115,0.385,0.9594,0.9251256281407035,0.411445187784897,0.8410163688586302,0.02,0.015,0.75,0.0,0.0
Syn_Large_n600,0.21290774458465347,0.1146944620385478,0.18097891741433791,0.54,0.5,0.004548507839921618,0.07333333333333333,0.023333333333333334,0.05,0.22016141722578692,0.10666666666666669,0.05333333333333334,0.25,0.9106666666666666,0.8999777034559643,0.3508290597389606,0.8004644413118498,0.013333333333333334,0.01,0.75,3.206012728240726e-05,8.888493844727563e-05
Syn_Corr_low,0.32153471494940405,0.1548038426561639,0.09751529265362599,0.7633333333333333,0.6,0.006683528406629217,0.10333333333333333,0.05333333333333334,0.05333333333333334,0.3455762930854152,0.1266666666666667,0.056666666666666664,0.4033333333333333,0.9535,0.9589297658862876,0.5576037672817951,0.8725133312722507,0.02,0.016666666666666666,0.8333333333333334,0.000288558247189985,0.000799680127948954
Syn_Corr_high,0.19099268534589703,0.1052597819923863,0.0018962739422200472,0.5533333333333333,0.26,0.008423415101118733,0.08,0.03666666666666667,0.03,0.09914868469858233,0.05666666666666664,0.02,0.10666666666666667,0.8685555555555555,0.7554515050167224,0.22547520579666358,0.6025026645199436,0.02,0.006666666666666667,0.3333333333333333,3.206012728240726e-05,8.888493844727563e-05
