dataset,c1,c2,c3,c4,l1,l2,l3,s1,s2,s3,s4,t2,meta_label
Facebook Metrics,0.8031217241362599,0.403203775359103,0.31333333333333335,0.0,0.0032396677493974372,2.9139067408141748e-05,0.024495359628770304,1.211290141614188,0.004564017269701591,2.3326514087389344e-05,0.0008181329520052784,17.647058823529413,ZFM
Liver Disorders,0.3095024593333656,0.20287740912219662,0.8833333333333333,0.5533333333333333,0.14878694853095278,0.0326581029427154,0.19677777777777777,0.3841382594345015,0.06249259259259259,0.03094406714932788,0.02839502972733362,60.0,HERx
Parkinson Telemonitoring,0.23634572431659778,0.13052290770830327,0.8233333333333334,0.6,0.18153078986258936,0.04642935421422878,0.1620895435187036,0.8902515173344542,0.06095680837652662,0.04303896807529494,0.0292934611509387,15.789473684210526,HD
Power Plant,0.9383549147471636,0.6952369270507847,-0.5,0.05333333333333334,0.056442536086391645,0.004672768967132881,0.0769922787767958,0.378572435760829,0.009007362482161661,0.00327642773371856,0.003549166554111958,75.0,unit
Real Estate,0.7870970026990154,0.4572697223958206,0.53,0.12333333333333334,0.08180673581018892,0.012480205602262116,0.09445544554455444,0.63673989910951,0.01874312709104816,0.010416234083174844,0.008960343892843692,50.0,unit
Servo,0.6928733448055177,0.33953110242235296,0.7125748502994012,0.38323353293413176,0.12766361387652364,0.024830491114359473,0.05765117548637522,0.7058617581929074,0.015240176130378261,0.021481662497405924,0.002425375041762184,41.75,RY
Student Math,0.43288258743213126,0.15924118816474672,0.7166666666666667,0.0,0.10056648670264619,0.019091562974796014,0.15701754385964914,2.5715330933638105,0.047340720221606646,0.017154854485758993,0.01764182664906046,10.0,unit
Superconductivity,0.7433205622636153,0.42129485665138555,0.56,0.06333333333333334,0.08497059952609456,0.012375856095655807,0.10666258516098927,1.980623038004603,0.020297280189319467,0.010057480619998158,0.010812372037419304,3.7037037037037037,ZFM
Syn_Reg_10f_linear,0.6422760252891699,0.2402523583595373,0.5433333333333333,0.07,8.684504200475785e-05,1.200561704878502e-08,0.09647975739642325,0.7124194757938181,0.014070376147656488,8.16767632437911e-09,0.004578317686838132,30.0,unit
Syn_Reg_1inf_3f,0.9996164401826687,0.3553965414430531,-0.5,0.0,0.002875850785296497,1.3010447825207827e-05,0.035257647164071586,0.26736140371357675,0.001629621425391174,8.767620040820486e-06,0.0007526764169587714,100.0,unit
Syn_Reg_1inf_8f,0.9999577773086368,0.15433182590917677,-0.5,0.0,0.0007035309415887361,7.371067024034832e-07,0.08814213890363959,0.6298174609294799,0.011336766792944708,4.532591261543583e-07,0.0032406711940939827,37.5,unit
Syn_Reg_2f_linear,0.9502118912432359,0.6261625129168101,-0.5,0.03,0.0001716567362490162,4.563616681234208e-08,0.017306722435524707,0.16897817389906827,0.0005286455191674183,2.9303579925853526e-08,0.0002399295813706837,150.0,unit
