dataset,f1,f1v,f2,f3,f4,l1,l2,l3,n1,n2,n3,n4,t1,lsc,density,cls_coef,hubs,t2,t3,t4,c1,c2
Cirrhosis,0.6862600694418935,0.24252092465414563,0.07029459308869769,0.94,0.7233333333333334,0.0157483120573956,0.19666666666666666,0.16666666666666666,0.17666666666666667,0.2848046562638711,0.16666666666666663,0.21,0.5366666666666666,0.9763222222222222,0.9629877369007804,0.4620540603222274,0.8731514483064149,0.056666666666666664,0.04,0.7058823529411765,0.023499531242175964,0.06276636962417659
Kidney Risk,0.0,0.054866025522068755,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.3436553570805606,0.0,0.0,0.335,0.784775,0.9359296482412061,0.6801652285601528,0.7484373975927429,0.14,0.095,0.6785714285714286,0.057316810744507785,0.14540059347181
Sonar,0.6844043073334158,0.13179146250368884,1.045339189346414e-06,0.9471153846153846,0.0,0.0035615308524811584,0.08173076923076923,0.057692307692307696,0.0889423076923077,0.4145283654961678,0.125,0.09615384615384616,0.8076923076923077,0.9664154955621301,0.988015607580825,0.6493230241038498,0.9339875853732758,0.28846153846153844,0.1346153846153846,0.4666666666666667,0.003270410979163474,0.009019788311090626
Thyroid Cancer,0.27563508612155374,0.07464705006465873,0.0,0.7666666666666667,0.0,0.006190848451964512,0.056666666666666664,0.02666666666666667,0.06166666666666667,0.14912943504885262,0.046666666666666634,0.043333333333333335,0.24333333333333335,0.8673333333333333,0.796231884057971,0.2730545488092052,0.5958809171491994,0.05333333333333334,0.04,0.75,0.14004695028224778,0.31618334892422817
Magic Gamma,0.6261388846656746,0.30932068422434617,0.0044947916451463085,0.9233333333333333,0.7333333333333333,0.017799002825401634,0.20666666666666667,0.18333333333333332,0.11833333333333333,0.3834048587492698,0.21666666666666667,0.16,0.6266666666666667,0.9749,0.9090746934225196,0.44789128537087464,0.7519917626185525,0.03333333333333333,0.023333333333333334,0.7,0.06593194462450891,0.1651376146788991
Mammographic Mass,0.4527700255037127,0.2085866141269309,0.2702702702702704,0.9,0.89,0.029873963005065677,0.17,0.13333333333333333,0.12833333333333333,0.21138006447220303,0.20333333333333337,0.13333333333333333,0.35,0.9745444444444444,0.8633444816053512,0.29939241504006775,0.7554029967180044,0.016666666666666666,0.013333333333333334,0.8,0.003882731120855354,0.01069802396003705
Diabetic Retinopathy,0.8876714255651326,0.4456332136189576,1.971173060710736e-07,0.9033333333333333,0.7166666666666667,0.00861426908323067,0.29,0.29,0.235,0.35926378821846683,0.30000000000000004,0.2633333333333333,0.6966666666666667,0.9905111111111111,0.9219620958751393,0.3055798448123649,0.8445766187878203,0.06333333333333334,0.02,0.3157894736842105,0.0025984114322604723,0.007174172977281734
Parkinsons,0.5162519892030635,0.1616230523731263,1.1313363339068221e-09,0.6410256410256411,0.015384615384615385,0.014610217816429608,0.13333333333333333,0.09743589743589744,0.041025641025641026,0.3019100104090902,0.03589743589743588,0.1076923076923077,0.3384615384615385,0.9004076265614727,0.8182394924662966,0.29719044340632517,0.6215471716394423,0.11282051282051282,0.041025641025641026,0.36363636363636365,0.1948749925353177,0.40986074520135485
Phishing Websites,0.3291726390799572,0.08178552696208635,0.0,0.8466666666666667,0.8466666666666667,0.0045595642645924,0.06333333333333334,0.03,0.07833333333333334,0.39774780197196774,0.13,0.04,0.6933333333333334,0.9805222222222222,0.9528874024526198,0.5725526851132141,0.8630417366143375,0.1,0.07333333333333333,0.7333333333333333,0.009285245386868923,0.02536311378296552
EEG Eye State,0.937612306389797,0.5573984479909937,0.014121445825467146,0.97,0.7233333333333334,0.01426819901863876,0.31333333333333335,0.30666666666666664,0.15333333333333332,0.4032242772349162,0.25,0.24333333333333335,0.8166666666666667,0.9879444444444444,0.6968115942028985,0.14131950739790666,0.583136697341323,0.04666666666666667,0.02,0.42857142857142855,0.00722554601219183,0.01980198019801993
